Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count,flow_window_start_time 1,flow_window_start_time 2,flow_window_start_time 3,prefix_window_start_time 1,prefix_window_start_time 2,prefix_window_start_time 3
5,42000000,4000000,3000000,0,1000000,5000000,13000000,278073975,278188420,278282667,278073975,278073975,278073975
4,102000000,7000000,3000000,0,1000000,4000000,12000000,278282667,278282667,278282667,278199380,278199380,278199380
4,64000000,5000000,3000000,0,1000000,4000000,12000000,278280428,278280428,278280428,278092652,278092652,278092652
4,82000000,6000000,3000000,0,1000000,8000000,12000000,278201013,278177610,278282667,278177610,278177610,278177610
5,23000000,3000000,3000000,0,1000000,5000000,15000000,278078530,278078530,278201013,278044940,278044940,278044940
5,62000000,5000000,3000000,0,1000000,9000000,13000000,278092652,278280428,278282667,278092652,278092652,278092652
5,84000000,6000000,3000000,0,1000000,5000000,13000000,278177610,278177610,278280428,278177610,278177610,278177610
5,44000000,4000000,3000000,0,1000000,5000000,14000000,278175307,278188420,278280428,278073975,278073975,278073975
5,43000000,4000000,3000000,0,1000000,5000000,15000000,278188420,278188420,278201013,278073975,278073975,278073975
5,103000000,7000000,3000000,0,1000000,5000000,13000000,278199380,278282667,278201013,278199380,278199380,278199380
5,63000000,5000000,3000000,0,1000000,9000000,14000000,278201013,278280428,278201013,278092652,278092652,278092652
5,83000000,6000000,3000000,0,1000000,10000000,14000000,278092652,278177610,278201013,278177610,278177610,278177610
5,104000000,7000000,3000000,0,1000000,5000000,14000000,278242332,278282667,278280428,278199380,278199380,278199380
6,24000000,3000000,3000000,0,1000000,6000000,16000000,278044940,278078530,278280428,278044940,278044940,278044940
6,42000000,4000000,3000000,0,1000000,6000000,16000000,278073975,278188420,278282667,278073975,278073975,278073975
6,22000000,3000000,3000000,0,1000000,6000000,17000000,278051759,278078530,278282667,278044940,278044940,278044940
5,102000000,7000000,3000000,0,1000000,5000000,15000000,278282667,278282667,278282667,278199380,278199380,278199380
5,64000000,5000000,3000000,0,1000000,5000000,15000000,278280428,278280428,278280428,278092652,278092652,278092652
5,82000000,6000000,3000000,0,1000000,10000000,15000000,278201013,278177610,278282667,278177610,278177610,278177610
6,23000000,3000000,3000000,0,1000000,6000000,18000000,278078530,278078530,278201013,278044940,278044940,278044940
6,62000000,5000000,3000000,0,1000000,11000000,16000000,278092652,278280428,278282667,278092652,278092652,278092652
6,84000000,6000000,3000000,0,1000000,6000000,16000000,278177610,278177610,278280428,278177610,278177610,278177610
6,44000000,4000000,3000000,0,1000000,6000000,17000000,278175307,278188420,278280428,278073975,278073975,278073975
6,43000000,4000000,3000000,0,1000000,6000000,18000000,278188420,278188420,278201013,278073975,278073975,278073975
6,103000000,7000000,3000000,0,1000000,6000000,16000000,278199380,278282667,278201013,278199380,278199380,278199380
6,63000000,5000000,3000000,0,1000000,11000000,17000000,278201013,278280428,278201013,278092652,278092652,278092652
6,83000000,6000000,3000000,0,1000000,12000000,17000000,278092652,278177610,278201013,278177610,278177610,278177610
6,104000000,7000000,3000000,0,1000000,6000000,17000000,278242332,278282667,278280428,278199380,278199380,278199380
7,24000000,3000000,3000000,0,1000000,7000000,19000000,278044940,278078530,278280428,278044940,278044940,278044940
7,42000000,4000000,3000000,0,1000000,7000000,19000000,278073975,278188420,278282667,278073975,278073975,278073975
7,22000000,3000000,3000000,0,1000000,7000000,20000000,278051759,278078530,278282667,278044940,278044940,278044940
6,64000000,5000000,3000000,0,1000000,6000000,18000000,278280428,278280428,278280428,278092652,278092652,278092652
6,102000000,7000000,3000000,0,1000000,6000000,18000000,278282667,278282667,278282667,278199380,278199380,278199380
6,82000000,6000000,3000000,0,1000000,12000000,18000000,278201013,278177610,278282667,278177610,278177610,278177610
7,23000000,3000000,3000000,0,1000000,7000000,21000000,278078530,278078530,278201013,278044940,278044940,278044940
7,62000000,5000000,3000000,0,1000000,13000000,19000000,278092652,278280428,278282667,278092652,278092652,278092652
7,44000000,4000000,3000000,0,1000000,7000000,20000000,278175307,278188420,278280428,278073975,278073975,278073975
7,84000000,6000000,3000000,0,1000000,7000000,19000000,278177610,278177610,278280428,278177610,278177610,278177610
