Packet ID,Source Address,Flow Inter Packet Times 1,Flow Inter Packet Times 2,Flow Inter Packet Times 3,Prefix Inter Packet Times 1,Prefix Inter Packet Times 2,Prefix Inter Packet Times 3,Hop Count,New Addresses Seen,Port
3,23000000,233917,51027,28046,51027,51027,51027,3000000,3000000,0
2,104000000,232045,174077,29775,174077,174077,174077,7000000,3000000,0
2,102000000,228253,324,68569,324,324,324,7000000,3000000,0
3,42000000,229757,144410,2107,144410,144410,144410,4000000,3000000,0
3,24000000,244605,78633,52952,78633,78633,78633,3000000,3000000,0
3,43000000,246023,77679,105791,77679,77679,77679,4000000,3000000,0
3,44000000,224490,2401,29559,2401,2401,2401,4000000,3000000,0
2,103000000,258279,83878,4092,83878,83878,83878,7000000,3000000,0
3,83000000,208859,170389,56412,170389,170389,170389,6000000,3000000,0
4,22000000,225467,95807,146328,95807,95807,95807,3000000,3000000,0
3,82000000,206423,12082,3937,12082,12082,12082,6000000,3000000,0
3,62000000,24029,216241,11947,216241,216241,216241,5000000,3000000,0
3,63000000,15919,3972,28001,3972,3972,3972,5000000,3000000,0
3,64000000,224134,3921,90025,3921,3921,3921,5000000,3000000,0
3,84000000,231919,49448,29608,49448,49448,49448,6000000,3000000,0
4,23000000,242963,68523,48667,68523,68523,68523,3000000,3000000,0
3,104000000,225662,141460,23518,141460,141460,141460,7000000,3000000,0
3,102000000,226159,821,61840,821,821,821,7000000,3000000,0
4,42000000,230974,150894,6922,150894,150894,150894,4000000,3000000,0
4,24000000,205063,40733,32353,40733,40733,40733,3000000,3000000,0
4,43000000,202732,49437,65560,49437,49437,49437,4000000,3000000,0
3,103000000,200392,58111,1752,58111,58111,58111,7000000,3000000,0
4,44000000,221242,20911,45738,20911,20911,20911,4000000,3000000,0
4,83000000,204437,166936,84486,166936,166936,166936,6000000,3000000,0
4,82000000,216703,16238,151913,16238,16238,16238,6000000,3000000,0
5,22000000,240608,131352,4049,131352,131352,131352,3000000,3000000,0
4,63000000,7882,220664,24120,220664,220664,220664,5000000,3000000,0
4,62000000,24804,684,4517,684,684,684,5000000,3000000,0
4,64000000,237891,16543,106674,16543,16543,16543,5000000,3000000,0
4,84000000,231340,48166,23057,48166,48166,48166,6000000,3000000,0
4,102000000,214574,156463,47173,156463,156463,156463,7000000,3000000,0
5,23000000,228808,56723,52890,56723,56723,56723,3000000,3000000,0
4,104000000,221761,6366,13939,6366,6366,6366,7000000,3000000,0
5,42000000,231888,161540,24236,161540,161540,161540,4000000,3000000,0
5,24000000,224347,36272,34939,36272,36272,36272,3000000,3000000,0
5,43000000,227583,45132,64335,45132,45132,45132,4000000,3000000,0
4,103000000,232646,69817,6815,69817,69817,69817,7000000,3000000,0
5,44000000,227029,20357,48420,20357,20357,20357,4000000,3000000,0
5,82000000,216419,176135,144326,176135,176135,176135,6000000,3000000,0
5,83000000,218981,3246,95625,3246,3246,3246,6000000,3000000,0
6,22000000,224038,131043,3786,131043,131043,131043,3000000,3000000,0
5,62000000,1126,203564,586,203564,203564,203564,5000000,3000000,0
5,63000000,5661,1289,2415,1289,1289,1289,5000000,3000000,0
5,64000000,226112,21259,105757,21259,21259,21259,5000000,3000000,0
5,84000000,230750,51369,27695,51369,51369,51369,6000000,3000000,0
6,23000000,219316,52001,50126,52001,52001,52001,3000000,3000000,0
5,102000000,225553,149370,52619,149370,149370,149370,7000000,3000000,0
5,104000000,219385,198,2574,198,198,198,7000000,3000000,0
6,42000000,232359,166870,31042,166870,166870,166870,4000000,3000000,0
6,24000000,227772,44728,43326,44728,44728,44728,3000000,3000000,0
6,43000000,227979,40752,72998,40752,40752,40752,4000000,3000000,0
5,103000000,238000,88432,16836,88432,88432,88432,7000000,3000000,0
6,44000000,229468,21846,50116,21846,21846,21846,4000000,3000000,0
6,82000000,217743,168789,135371,168789,168789,168789,6000000,3000000,0
6,83000000,219085,53,77836,53,53,53,6000000,3000000,0
7,22000000,224247,127518,4629,127518,127518,127518,3000000,3000000,0
6,62000000,5174,201711,598,201711,201711,201711,5000000,3000000,0
6,63000000,6502,1275,6449,1275,1275,1275,5000000,3000000,0
6,64000000,227151,24165,103440,24165,24165,24165,5000000,3000000,0
7,23000000,221840,49594,47721,49594,49594,49594,3000000,3000000,0
6,84000000,225473,56631,26017,56631,56631,56631,6000000,3000000,0
6,104000000,222930,134498,31,134498,134498,134498,7000000,3000000,0
6,102000000,223161,33,51521,33,33,33,7000000,3000000,0
7,42000000,227726,165128,35607,165128,165128,165128,4000000,3000000,0
