Packet ID,Source Address,Flow Inter Packet Times,Prefix Inter Packet Times,Hop Count,New Addresses Seen,Port
1,13000000,95655212,95655212,3000000,2000000,0
1,14000000,95670268,15056,3000000,2000000,0
1,15000000,95712609,42341,3000000,3000000,0
1,53000000,95760957,95760957,5000000,2000000,0
1,33000000,95793422,95793422,4000000,2000000,0
1,35000000,95813586,20164,4000000,2000000,0
2,13000000,218576,161179,3000000,3000000,0
1,54000000,95889329,128372,5000000,2000000,0
2,14000000,219360,15840,3000000,3000000,0
1,55000000,95905508,16179,5000000,3000000,0
1,75000000,95934675,95934675,6000000,2000000,0
2,15000000,224243,47224,3000000,3000000,0
1,74000000,48053,3006,6000000,2000000,0
1,34000000,95948641,135055,4000000,3000000,0
1,73000000,95962556,24875,6000000,3000000,0
2,53000000,215388,70837,5000000,3000000,0
1,93000000,95977222,95977222,7000000,2000000,0
1,95000000,96012565,35343,7000000,2000000,0
2,33000000,220563,65344,4000000,3000000,0
1,0,96019781,96019781,1000000,0,7000000
2,35000000,207860,7461,4000000,3000000,0
1,2000000,96025724,5943,1000000,0,9000000
1,1000000,96087871,62147,1000000,0,8000000
1,4000000,96093926,6055,1000000,0,11000000
3,13000000,221144,158080,3000000,3000000,0
1,94000000,96104718,92153,7000000,3000000,0
1,3000000,96107850,13924,1000000,0,10000000
2,55000000,180225,141561,5000000,3000000,0
2,54000000,183243,12,5000000,3000000,0
3,14000000,228533,23229,3000000,3000000,0
3,15000000,212675,31366,3000000,3000000,0
2,75000000,188169,188169,6000000,3000000,0
1,5000000,96152319,44469,1000000,0,12000000
2,74000000,38490,5671,6000000,3000000,0
2,34000000,224175,151370,4000000,3000000,0
2,73000000,214519,20679,6000000,3000000,0
1,3000000,96186025,33706,1000000,0,10000000
1,4000000,96188879,2854,1000000,0,11000000
1,1000000,96194869,5990,1000000,0,8000000
2,93000000,222160,94664,7000000,3000000,0
3,53000000,231166,89593,5000000,3000000,0
1,0,96231000,36131,1000000,0,7000000
3,33000000,59661,59661,4000000,3000000,0
2,95000000,228096,41279,7000000,3000000,0
3,35000000,219608,8577,4000000,3000000,0
1,5000000,96264854,33854,1000000,0,12000000
1,2000000,107985,15947,1000000,0,9000000
2,94000000,207135,71192,7000000,3000000,0
4,13000000,228612,174017,3000000,3000000,0
3,55000000,177744,126629,5000000,3000000,0
3,54000000,187265,3850,5000000,3000000,0
4,14000000,224913,19530,3000000,3000000,0
3,75000000,191289,191289,6000000,3000000,0
4,15000000,220240,26693,3000000,3000000,0
3,74000000,36255,2031,6000000,3000000,0
3,34000000,208048,153019,4000000,3000000,0
3,73000000,222023,28703,6000000,3000000,0
2,4000000,220336,128414,1000000,0,11000000
2,3000000,40971,1523,1000000,0,10000000
3,93000000,219622,107151,7000000,3000000,0
2,1000000,224332,8463,1000000,0,8000000
4,53000000,222828,92349,5000000,3000000,0
3,95000000,207784,29441,7000000,3000000,0
4,33000000,225259,63663,4000000,3000000,0
2,0,230795,42594,1000000,0,7000000
4,35000000,189612,12677,4000000,3000000,0
2,5000000,226169,29228,1000000,0,12000000
2,2000000,113720,16770,1000000,0,9000000
3,94000000,223929,87337,7000000,3000000,0
5,13000000,226988,180765,3000000,3000000,0
4,55000000,192565,132621,5000000,3000000,0
4,54000000,199394,4798,5000000,3000000,0
5,14000000,234186,26728,3000000,3000000,0
5,15000000,217020,9527,3000000,3000000,0
4,75000000,190030,190030,6000000,3000000,0
4,74000000,31585,5417,6000000,3000000,0
4,34000000,200907,141232,4000000,3000000,0
4,73000000,224156,28709,6000000,3000000,0
3,4000000,223367,124789,1000000,0,11000000
3,3000000,43801,347,1000000,0,10000000
3,1000000,220173,6445,1000000,0,8000000
5,53000000,228189,90770,5000000,3000000,0
4,93000000,239549,122771,7000000,3000000,0
4,95000000,224633,14525,7000000,3000000,0
5,33000000,224151,74301,4000000,3000000,0
3,0,227975,50396,1000000,0,7000000
5,35000000,187950,9797,4000000,3000000,0
3,5000000,223944,25197,1000000,0,12000000
3,2000000,128246,24924,1000000,0,9000000
4,94000000,220887,83591,7000000,3000000,0
6,13000000,236005,199750,3000000,3000000,0
5,55000000,198624,134641,5000000,3000000,0
5,54000000,234398,30357,5000000,3000000,0
6,14000000,261234,51957,3000000,3000000,0
6,15000000,251805,98,3000000,3000000,0
4,3000000,222092,115130,1000000,0,10000000
