Packet Number,Ingress Prossessing Duration
677,1969
678,1620
679,1410
680,1208
681,1033
682,4007
683,4040
684,4051
685,5085
686,5122
687,2167
688,2451
689,2738
690,1513
691,1656
692,1937
693,1839
694,1763
695,2106
696,2294
697,2408
698,2342
699,2271
700,2715
701,2607
702,2322
703,2478
704,2630
705,2115
706,2304
707,2395
708,2213
709,2312
710,2435
711,245852
712,2607
713,2861
714,3074
715,40212
716,4163
717,111500
718,4189
719,3598
720,3516
721,3486
722,2219
723,1799
724,2240
725,1853
726,1931
727,2079
728,3518
729,3079
730,3082
731,2503
732,2361
733,1115
734,1363
735,1348
736,2219
737,2428
738,2440
739,2487
740,6244
741,5579
742,5158
743,5143
744,4843
745,1082
746,1071
747,1058
748,1055
749,1074
750,1102
751,1107
752,1097
753,1103
754,1081
755,1049
756,1038
757,1041
758,1048
759,1028
760,1029
761,1041
762,1043
763,2669
764,2712
765,3120
766,7676
767,7891
768,6272
769,7242
770,6857
771,223700
772,2505
773,4743
774,4737
775,4607
776,4618
777,4410
778,6532
779,6551
780,5682
781,5651
782,6411
783,1856
784,1840
785,1827
786,1830
787,1062
788,2274
789,2072
790,2280
791,2737
792,2937
793,2914
794,3118
795,2918
796,2454
797,2254
798,1068
799,1061
800,1057
801,1054
802,1055
803,1039
804,1026
805,1022
806,1025
807,1020
808,5066
809,4885
810,4907
811,4920
812,4944
813,949
814,1136
815,1116
816,1102
817,1088
818,1028
819,1020
820,1015
821,1013
822,1008
823,1012
824,2553
825,2905
826,3079
827,168786
828,3878
829,4220
830,2706
831,96279
832,3376
833,3020
834,2382
835,2400
836,2631
837,1637
838,2123
839,2746
840,2415
841,2169
842,2147
843,1847
844,1066
845,2196
846,2382
847,2684
848,3048
849,3258
850,2117
851,3489
852,3218
853,2863
854,2694
855,2684
856,1257
857,1228
858,1218
859,1917
860,1721
861,1728
862,1993
863,2024
864,2185
865,2401
866,2708
867,2448
868,2428
869,1528
870,1505
871,2381
872,2778
873,2792
874,3295
875,3610
876,2558
877,2385
878,2553
879,2550
880,2248
881,222351
882,2357
883,254583
884,3300
885,2922
886,2430
887,2832
888,2535
889,1865
890,2275
891,2077
892,2043
893,2299
894,1603
895,1185
896,1380
897,1430
898,1094
899,1090
900,1439
901,1240
902,947
903,1144
904,1537
905,1190
906,1853
907,1524
908,1824
909,1658
910,1661
911,1375
912,1744
913,1666
914,1983
915,2269
916,2296
917,2304
918,2274
919,1737
920,3288
921,3103
922,222444
923,3168
924,2784
925,2998
926,1935
927,1950
928,1704
929,1865
930,1647
931,1882
932,2056
933,2371
934,2355
935,2865
936,2519
937,2333
938,2335
939,2540
940,2435
941,2301
942,2376
943,3066
944,2736
945,2721
946,2895
947,2604
948,1609
949,1856
950,1920
951,1840
952,2027
953,2018
954,1546
955,1693
956,1072
957,1334
958,1131
959,1128
960,981
961,1173
962,904
963,1857
964,2421
965,2386
966,3105
967,3603
968,3799
969,3457
970,3549
971,2776
972,2096
973,1146
974,1417
975,906
976,1396
977,1790
978,1596
979,1652
980,2062
981,2497
982,3944
983,4142
984,3796
985,3708
986,3036
987,1744
988,2030
989,2189
990,2563
991,2543
992,2197
993,2214
994,2418
995,2173
996,542129
997,2827
998,3104
999,3148
1000,2590
1001,2558
1002,2129
1003,1854
1004,1661
1005,2696
1006,2473
1007,5886
1008,5890
1009,5724
1010,4882
1011,4874
1012,1061
1013,3282
1014,3316
1015,3353
1016,3392
1017,3599
1018,1368
1019,223218
1020,1786
1021,2024
1022,2254
1023,2431
1024,2664
1025,2219
1026,1938
1027,2592
1028,2255
1029,2019
1030,2012
1031,2016
1032,1110
1033,1061
1034,1053
1035,1053
1036,1052
1037,3102
1038,3118
1039,3123
1040,3125
1041,3145
1042,1080
1043,1062
1044,1055
1045,2704
1046,2496
1047,225821
1048,3629
1049,3698
1050,3936
1051,2290
1052,3397
1053,2294
1054,2224
1055,1993
1056,1986
1057,1776
1058,1765
1059,1775
1060,1766
1061,1771
1062,1052
1063,1038
1064,2821
1065,2875
1066,2881
1067,3713
1068,3717
1069,2354
1070,2587
1071,2812
1072,1802
1073,2122
1074,1982
1075,5962
1076,5795
1077,6198
1078,5972
1079,6778
1080,3487
1081,4529
1082,4981
1083,5926
1084,5089
1085,4794
1086,4890
1087,4662
1088,6043
1089,6321
1090,6196
1091,5408
1092,5164
1093,3664
1094,3394
1095,3016
1096,3870
1097,3913
1098,3298
1099,3294
1100,3402
1101,3803
1102,196159
1103,3784
1104,4333
1105,4308
1106,4037
1107,2170
1108,3061
1109,2346
1110,2406
1111,2530
1112,2726
1113,1620
1114,118304
1115,2852
1116,2744
1117,2811
1118,3080
1119,3404
1120,2368
1121,2424
1122,2227
1123,2543
1124,2511
1125,2381
1126,2900
1127,2962
1128,2559
1129,4651
1130,4445
1131,3670
1132,5248
1133,5083
1134,2684
1135,2672
1136,2668
1137,1011
1138,975
1139,2174
1140,2537
1141,2549
1142,2555
1143,2558
1144,2176
1145,2108
1146,330158
1147,3013
1148,3023
1149,3300
1150,2307
1151,2307
1152,1626
1153,1877
1154,65691
1155,2402
1156,2709
1157,2415
1158,3457
1159,3213
1160,2414
1161,2281
1162,2269
1163,985
1164,1987
1165,2001
1166,2004
1167,3085
1168,3109
1169,2082
1170,2065
1171,2056
1172,975
1173,952
1174,2347
1175,10955
1176,21911
1177,30598
1178,242558
1179,50514
1180,59309
1181,61193
1182,229675
1183,70573
1184,234261
1185,80034
1186,69699
1187,1034499
1188,90100
1189,195776
1190,257308
1191,110320
1192,1034859
1193,109838
1194,101478
1195,105840
1196,1028877
1197,244081
1198,95104
1199,216770
1200,1056473
1201,96220
1202,85971
1203,85915
1204,227098
1205,92648
1206,227525
1207,103837
1208,82405
1209,198776
1210,92525
1211,229305
1212,104091
1213,1048543
1214,1043571
1215,114206
1216,93262
1217,92701
1218,227388
1219,93748
1220,227685
1221,93432
1222,72968
1223,73838
1224,217671
1225,83350
1226,217267
1227,82086
1228,70733
1229,40732
1230,216801
1231,91837
1232,217293
1233,52401
1234,111661
1235,83185
1236,8892
1237,61190
1238,51145
1239,51107
1240,225982
1241,22537
1242,219776
1243,34629
1244,76760
1245,76220
1246,218925
1247,178066
1248,218414
1249,82597
1250,814313
1251,59676
1252,217490
1253,59527
1254,218575
1255,46328
1256,35764
1257,135873
1258,30218
1259,20548
1260,177270
1261,212355
1262,30937
1263,218710
1264,82913
1265,72878
1266,41677
1267,218640
1268,40791
1269,219367
1270,219490
1271,10320
1272,40197
1273,219340
1274,30032
1275,10588
1276,228914
1277,112603
1278,62550
1279,42480
1280,207627
1281,165339
1282,20787
1283,229504
1284,63663
1285,227529
1286,1019770
1287,60903
1288,60450
1289,997943
1290,235742
1291,39061
1292,234589
1293,141235
1294,9319
1295,1021385
1296,230668
1297,26518
1298,229652
1299,1026510
1300,237884
1301,50569
1302,144072
1303,128913
1304,48450
1305,219132
1306,258257
1307,72338
1308,1013893
1309,216450
1310,245149
1311,1031587
1312,678909
1313,219335
1314,159939
1315,139513
1316,216336
1317,18137
1318,204811
1319,45267
1320,28504
1321,10205
1322,418166
1323,19008
1324,187941
1325,57955
1326,228102
1327,19840
1328,48462
1329,106567
1330,192277
1331,236210
1332,221097
1333,107188
1334,28888
1335,9713
1336,29443
1337,231096
1338,29602
1339,223304
1340,19731
1341,1265
1342,11771
1343,62825
1344,150967
1345,179484
1346,179528
1347,227852
1348,18693
1349,226294
1350,46761
1351,9172
1352,93201
1353,204459
1354,233283
1355,36749
1356,141125
1357,18599
1358,18944
1359,102135
1360,28361
1361,230880
1362,2304526
1363,28585
1364,239957
1365,64278
1366,83993
1367,9699
1368,233640
